cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pid,rss_mb,run_id,runtime_log,seconds_since_start,step,timestamp
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,20,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.28125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,34.440279789,20,2026-05-10T09:32:24.041683Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,40,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.42578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,46.557152806,40,2026-05-10T09:32:36.189554Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,60,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.42578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,58.725377472000005,60,2026-05-10T09:32:48.357002Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,80,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.42578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,70.933566446,80,2026-05-10T09:33:00.565877Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,100,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.42578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,83.176274447,100,2026-05-10T09:33:12.808870Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,120,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4821.6640625,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,95.47543653,120,2026-05-10T09:33:25.107558Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,140,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,107.795386601,140,2026-05-10T09:33:37.427904Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,160,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,120.171937599,160,2026-05-10T09:33:49.804355Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,180,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,132.591244553,180,2026-05-10T09:34:02.223852Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,200,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4818.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,145.028029399,200,2026-05-10T09:34:14.660208Z
