backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/checkpoints/gpa.pt,,,,oxford_flowers,,stage1_complete,,,,,,,,,,,,promptsrc-nc-main-20260510-192533,,,1,16,,,0.9558823529411765
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192533/stage2/oxford_flowers/shot16/seed1/ViT-B-16/real/checkpoints/final.pt,,,,oxford_flowers,,stage2_complete,,,,,,,,,real,,,promptsrc-nc-main-20260510-192533,,,1,16,,,0.9607843137254902
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192533/stage2/oxford_flowers/shot16/seed1/ViT-B-16/shuffled/checkpoints/final.pt,,,,oxford_flowers,,stage2_complete,,,,,,,,,shuffled,,,promptsrc-nc-main-20260510-192533,,,1,16,,,0.9558823529411765
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,20,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.6640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,22.441912482000003,,,20,2026-05-10T09:30:24.503176Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,40,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,29.522411105000003,,,40,2026-05-10T09:30:31.620038Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,60,23034.0,4690.875,97,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,36.643694977,,,60,2026-05-10T09:30:38.740155Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,80,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,43.791407616,,,80,2026-05-10T09:30:45.888642Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,100,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,50.958024548000004,,,100,2026-05-10T09:30:53.055750Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,120,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,58.156283979,,,120,2026-05-10T09:31:00.254068Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,140,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,65.38969362099999,,,140,2026-05-10T09:31:07.487277Z,
